x_coord,y_coord,Diam_km
-179.986817,-3.654135,8.446418
-179.973808,35.695293,13.646561
-179.966929,47.983581,11.249893
-179.921068,18.917274,5.114237
-179.897457,4.641054,15.214214
-179.886673,40.292796,8.269027
-179.886673,55.234107,14.42725
-179.877501,45.057689,9.060678
-179.856864,15.317234,7.376831
-179.817883,31.643528,5.216672
-179.801831,55.607869,17.364793
-179.779764,2.365653,9.674028
-179.75225,-27.560566,8.720411
-179.744506,10.492722,10.069927
-179.731815,7.184534,9.124225
-179.720917,2.012573,7.948428
-179.70784,-0.286802,8.772684
-179.670789,-8.775967,19.507692
-179.661957,14.831114,14.674217
-179.657712,-20.390539,6.151389
-179.648199,51.216738,8.578373
-179.645906,48.169315,5.404829
-179.614122,-32.988067,6.29026
-179.597753,59.749061,13.519144
-179.594506,-22.188629,7.003731
-179.586288,22.83375,11.317509
-179.567944,13.627279,12.611582
-179.547306,39.350365,7.649213
-179.494567,59.478485,10.596583
-179.471637,44.566983,7.751374
-179.463736,-3.477595,11.962801
-179.460172,11.836431,6.996108
-179.457198,3.198223,5.38811
-179.437241,36.066762,18.01372
-179.428864,6.787865,6.411608
-179.424505,6.41299,5.942056
-179.417967,-32.026906,5.173147
-179.414311,20.22888,11.65276
-179.414311,50.533418,10.533724
-179.334056,23.865608,10.297492
-179.332966,8.049797,6.565117
-179.330786,-13.559976,9.496423
-179.313418,54.459066,5.846045
-179.27194,-10.809443,16.099767
-179.256093,9.509017,5.486902
-179.237749,48.577473,8.649306
-179.230529,0.462947,7.525962
-179.226284,9.022897,8.961768
-179.212526,13.845116,5.670994
-179.210233,52.108722,7.09043
-179.195657,-35.071672,9.049012
-179.180401,-18.505269,5.540616
-179.175837,19.77257,11.39972
-179.143735,38.559273,7.272239
-179.139149,52.397642,15.082877
-179.104754,11.990064,7.862572
-179.093221,-59.521337,13.55294
-179.093221,-56.973498,10.232698
-179.084117,46.016171,10.372795
-179.082323,-3.930932,13.035163
-179.05181,4.189897,6.756803
-179.034374,3.42925,12.8891
-179.031377,41.095352,11.036836
-179.024498,20.969526,11.544706
-178.988604,4.828491,8.756866
-178.98781,10.245076,6.392683
-178.98781,10.527118,12.131336
-178.978638,54.0211,13.221645
-178.96463,-56.79042,9.862453
-178.96463,7.537614,10.680481
-178.884624,25.787158,12.842931
-178.884624,48.412375,5.602031
-178.873159,23.546879,9.944177
-178.841057,9.518189,14.114764
-178.812065,-58.978641,5.529866
-178.792903,41.400324,9.958642
-178.768475,-9.68264,5.745298
-178.740141,-26.068144,6.217653
-178.730992,52.796628,6.724649
-178.69201,47.919376,8.000899
-178.657615,17.481844,9.218821
-178.637704,-47.119965,13.18242
-178.634685,46.31197,6.858749
-178.615909,5.532471,7.60654
-178.586531,53.443259,18.014935
-178.577359,16.374316,5.006046
-178.565781,-15.12268,9.477724
-178.546165,-26.462634,6.265822
-178.541806,-9.554049,5.513423
-178.539627,-22.879531,9.278557
-178.535268,-12.276249,8.966811
-178.531499,14.484868,8.717842
-178.489596,-16.651303,8.74213
-178.487319,-52.00859,17.992264
-178.472062,2.72745,10.403492
-178.443729,0.467306,11.386641
-178.417575,-20.549643,13.705502
-178.406677,-10.622006,7.546246
-178.396211,46.465602,8.60896
-178.367446,5.552086,6.532665
-178.302061,-4.484525,14.908203
-178.265509,45.021001,5.216954
-178.260923,42.294601,8.975403
-178.230137,-13.494591,8.017171
-178.227478,-59.428438,6.636032
-178.217355,12.315672,11.210476
-178.196718,8.798181,16.269867
-178.187546,47.18561,5.618246
-178.180009,-23.45492,5.353901
-178.178374,13.675433,6.271536
-178.176081,53.771161,5.699666
-178.171495,14.952644,6.439734
-178.160393,7.058123,6.0551
-178.148565,17.961085,9.29958
-178.146272,35.915423,9.806947
-178.136419,2.638091,17.389127
-178.125635,54.69754,9.678083
-178.101547,-10.526108,9.2318
-178.091239,47.951479,7.365188
-178.073213,-53.80668,9.523206
-178.071034,0.469485,9.066477
-178.059137,29.903127,5.819231
-178.040793,21.116279,9.171922
-178.027035,29.559174,5.549312
-178.01557,23.750957,9.747536
-178.01557,52.594842,11.100978
-177.978881,13.223708,8.532036
-177.958244,17.419932,6.576418
-177.951161,-55.042458,18.022375
-177.937607,13.40027,5.064444
-177.929366,-9.915847,10.680877
-177.929366,0.240637,7.035346
-177.912384,12.217073,7.516765
-177.901032,1.8077,7.242495
-177.880282,43.443404,10.723478
-177.877058,-24.102233,7.554536
-177.87111,51.413937,7.869863
-177.859322,-26.053281,7.191265
-177.855263,-1.080141,9.202787
-177.848724,-58.287738,6.763517
-177.848179,9.628254,13.034966
-177.848179,49.345634,10.441035
-177.845886,59.031346,11.604182
-177.844365,-57.030165,5.525513
-177.820663,58.07745,6.261592
-177.811491,51.232789,7.781854
-177.802955,-35.420392,7.469201
-177.800026,42.821995,5.323061
-177.744994,12.982941,9.039348
-177.731031,4.654131,7.801701
-177.728852,-0.707446,5.015509
-177.704877,-14.588702,13.335894
-177.692254,52.090378,10.168449
-177.689621,-0.435009,7.099617
-177.65098,40.494581,5.486233
-177.646394,14.283083,5.813959
-177.639515,30.554344,17.361248
-177.630343,19.265813,9.272173
-177.62805,40.306554,5.152487
-177.614291,16.988845,9.185999
-177.582825,-13.703823,7.112624
-177.55238,40.648214,5.987573
-177.552312,-3.754392,8.76505
-177.545501,12.577077,7.227219
-177.543208,51.877127,5.322772
-177.534036,11.636939,7.383898
-177.52913,-25.579419,7.443974
-177.522571,14.936593,6.482563
-177.513081,-4.460551,5.338346
-177.501934,41.01739,12.350968
-177.486927,2.764502,6.765644
-177.480388,-12.860356,10.219716
-177.469831,36.532245,7.197687
-177.45378,39.655336,10.00457
